CP,ZONA,LOCALIDAD
1000,CABA,CABA
1001,CABA,CABA
1002,CABA,CABA
1003,CABA,CABA
1004,CABA,CABA
1005,CABA,CABA
1006,CABA,CABA
1007,CABA,CABA
1008,CABA,CABA
1009,CABA,CABA
1010,CABA,CABA
1011,CABA,CABA
1012,CABA,CABA
1013,CABA,CABA
1014,CABA,CABA
1015,CABA,CABA
1016,CABA,CABA
1017,CABA,CABA
1018,CABA,CABA
1019,CABA,CABA
1020,CABA,CABA
1021,CABA,CABA
1022,CABA,CABA
1023,CABA,CABA
1024,CABA,CABA
1025,CABA,CABA
1026,CABA,CABA
1027,CABA,CABA
1028,CABA,CABA
1029,CABA,CABA
1030,CABA,CABA
1031,CABA,CABA
1032,CABA,CABA
1033,CABA,CABA
1034,CABA,CABA
1035,CABA,CABA
1036,CABA,CABA
1037,CABA,CABA
1038,CABA,CABA
1039,CABA,CABA
1040,CABA,CABA
1041,CABA,CABA
1042,CABA,CABA
1043,CABA,CABA
1044,CABA,CABA
1045,CABA,CABA
1046,CABA,CABA
1047,CABA,CABA
1048,CABA,CABA
1049,CABA,CABA
1050,CABA,CABA
1051,CABA,CABA
1052,CABA,CABA
1053,CABA,CABA
1054,CABA,CABA
1055,CABA,CABA
1056,CABA,CABA
1057,CABA,CABA
1058,CABA,CABA
1059,CABA,CABA
1060,CABA,CABA
1061,CABA,CABA
1062,CABA,CABA
1063,CABA,CABA
1064,CABA,CABA
1065,CABA,CABA
1066,CABA,CABA
1067,CABA,CABA
1068,CABA,CABA
1069,CABA,CABA
1070,CABA,CABA
1071,CABA,CABA
1072,CABA,CABA
1073,CABA,CABA
1074,CABA,CABA
1075,CABA,CABA
1076,CABA,CABA
1077,CABA,CABA
1078,CABA,CABA
1079,CABA,CABA
1080,CABA,CABA
1081,CABA,CABA
1082,CABA,CABA
1083,CABA,CABA
1084,CABA,CABA
1085,CABA,CABA
1086,CABA,CABA
1087,CABA,CABA
1088,CABA,CABA
1089,CABA,CABA
1090,CABA,CABA
1091,CABA,CABA
1092,CABA,CABA
1093,CABA,CABA
1094,CABA,CABA
1095,CABA,CABA
1096,CABA,CABA
1097,CABA,CABA
1098,CABA,CABA
1099,CABA,CABA
1100,CABA,CABA
1101,CABA,CABA
1102,CABA,CABA
1103,CABA,CABA
1104,CABA,CABA
1105,CABA,CABA
1106,CABA,CABA
1107,CABA,CABA
1108,CABA,CABA
1109,CABA,CABA
1110,CABA,CABA
1111,CABA,CABA
1112,CABA,CABA
1113,CABA,CABA
1114,CABA,CABA
1115,CABA,CABA
1116,CABA,CABA
1117,CABA,CABA
1118,CABA,CABA
1119,CABA,CABA
1120,CABA,CABA
1121,CABA,CABA
1122,CABA,CABA
1123,CABA,CABA
1124,CABA,CABA
1125,CABA,CABA
1126,CABA,CABA
1127,CABA,CABA
1128,CABA,CABA
1129,CABA,CABA
1130,CABA,CABA
1131,CABA,CABA
1132,CABA,CABA
1133,CABA,CABA
1134,CABA,CABA
1135,CABA,CABA
1136,CABA,CABA
1137,CABA,CABA
1138,CABA,CABA
1139,CABA,CABA
1140,CABA,CABA
1141,CABA,CABA
1142,CABA,CABA
1143,CABA,CABA
1144,CABA,CABA
1145,CABA,CABA
1146,CABA,CABA
1147,CABA,CABA
1148,CABA,CABA
1149,CABA,CABA
1150,CABA,CABA
1151,CABA,CABA
1152,CABA,CABA
1153,CABA,CABA
1154,CABA,CABA
1155,CABA,CABA
1156,CABA,CABA
1157,CABA,CABA
1158,CABA,CABA
1159,CABA,CABA
1160,CABA,CABA
1161,CABA,CABA
1162,CABA,CABA
1163,CABA,CABA
1164,CABA,CABA
1165,CABA,CABA
1166,CABA,CABA
1167,CABA,CABA
1168,CABA,CABA
1169,CABA,CABA
1170,CABA,CABA
1171,CABA,CABA
1172,CABA,CABA
1173,CABA,CABA
1174,CABA,CABA
1175,CABA,CABA
1176,CABA,CABA
1177,CABA,CABA
1178,CABA,CABA
1179,CABA,CABA
1180,CABA,CABA
1181,CABA,CABA
1182,CABA,CABA
1183,CABA,CABA
1184,CABA,CABA
1185,CABA,CABA
1186,CABA,CABA
1187,CABA,CABA
1188,CABA,CABA
1189,CABA,CABA
1190,CABA,CABA
1191,CABA,CABA
1192,CABA,CABA
1193,CABA,CABA
1194,CABA,CABA
1195,CABA,CABA
1196,CABA,CABA
1197,CABA,CABA
1198,CABA,CABA
1199,CABA,CABA
1200,CABA,CABA
1201,CABA,CABA
1202,CABA,CABA
1203,CABA,CABA
1204,CABA,CABA
1205,CABA,CABA
1206,CABA,CABA
1207,CABA,CABA
1208,CABA,CABA
1209,CABA,CABA
1210,CABA,CABA
1211,CABA,CABA
1212,CABA,CABA
1213,CABA,CABA
1214,CABA,CABA
1215,CABA,CABA
1216,CABA,CABA
1217,CABA,CABA
1218,CABA,CABA
1219,CABA,CABA
1220,CABA,CABA
1221,CABA,CABA
1222,CABA,CABA
1223,CABA,CABA
1224,CABA,CABA
1225,CABA,CABA
1226,CABA,CABA
1227,CABA,CABA
1228,CABA,CABA
1229,CABA,CABA
1230,CABA,CABA
1231,CABA,CABA
1232,CABA,CABA
1233,CABA,CABA
1234,CABA,CABA
1235,CABA,CABA
1236,CABA,CABA
1237,CABA,CABA
1238,CABA,CABA
1239,CABA,CABA
1240,CABA,CABA
1241,CABA,CABA
